id,filename,label,category,stt_text,human_transcription,ref_len,cer,sub,del,ins,whitespace
S00000679_t0031,0031.wav,0,교육,최소 1주 되면 2주년도 걸릴 거라 예상됩니다.,최소 (1주)/(일 주) 길면 (2주)/(이 주) 정도 걸릴 거라 n/ 예상됩니다.,46,0.478261,2,20,0,4
S00000684_t0003,0003.wav,0,교육,분당사일 때 중앙교육학식집 인연했을 거예요. 지금은 학식집 이용 안 하고 있거든요 그리고 저희 스스로 이사했어요,u/ 살 때 중앙교육 학습지 몇 년* 했었고요. n/ 지금은 (학습지)/(학습*) 이용 안 하고 있거든요. 그리고 저희 서초로 (이사를)/(이사*) 했고요.,87,0.482759,17,25,0,5
S00000684_t0009,0009.wav,0,교육,학습이 종류가 안됐다고요?,학습이 종료가 안 됐다고요?,15,0.133333,1,1,0,1
S00000684_t0010,0010.wav,0,교육,저희 저번에 분명히 끝내고 이사까지 했는데요.,저희 저번에 분명히 끝내고 이사까지 했는데요.,25,0.000000,0,0,0,0
S00000684_t0013,0013.wav,0,교육,알아보고 처리해 드리겠습니다.,알아보고 처리해 드리겠습니다.,16,0.000000,0,0,0,0
S00000684_t0014,0014.wav,0,교육,틀여주는 건 당연하고요. 그것보다 세이 카드 번호도 분명히 개인적 모임인데 회의자는 섞어야 하는 거 아닌가요?,처리해 주는 건 당연하고요. 그것보다 저희 카드 번호도 분명히 개인정보인데 해지하면 삭제해야* 하는 거 아닌가요?,63,0.285714,12,4,2,2
S00000684_t0019,0019.wav,0,교육,그 때는 이제 애가 여기 선생님도 좋아하고 학생지도 마음에 들어서 하고 있었어요 그냥 링켰거든요,그때는 이제* 애가 여기 선생님도 좋아하고 학습지도 마음에 들어하고 그냥 넘겼거든요.,47,0.276596,3,2,8,3
S00000684_t0020,0020.wav,0,교육,남자는 이런 걸 그냥 느끼면 안 된다고 했지만 얘가 다 나오고 있는데 괜히 생일이 뚝빈하기만 들어서 좋을 거 없으니까요.,남편은 이런 걸 그냥 넘기면 안 된다고 했지만 애가 잘하고 있는데 괜히 (선생님)/(슨생님) 불편하게 만들어서 좋을 거 없으니까요.,73,0.328767,14,8,2,3
S00000684_t0022,0022.wav,0,교육,"아, 근데 이 안에서 좀 더 조심해지는 거 아닌가요?",한번 이해하고 넘어갔으면 좀 더 조심해줘야 (하는)/(하능) 거 아닌가요?,41,0.536585,10,12,0,2
S00000684_t0025,0025.wav,0,교육,"저 이사 오고 나서 바로 결제가 안 됐죠. 그리고 한 달 전에 갑자기 결제 되는 게 좀 이상하지 않아요? 계속 결제되는데 모르겠는데, 갑자기 승인뜨니까 놀랐다고요!",저희 이사 오고 나서 바로 결제가 (안되었어요)/(안됐으요). 그리고 한 달 전에 갑자기 결제되는 게 좀 이상하지 않아요? 계속 결제(되면)/(때는) 모르겠는데 갑자기 승인 뜨니까 놀랐다고요.,107,0.224299,4,18,2,3
S00000684_t0033,0033.wav,0,교육,지금 수치해서 당면신데 빨리 들이나 안 되는 건가요?,너무 느려요*. 명백히 지금 학습지 회사 잘못인데 더 빨리 처리는* 안 되는 건가요?,47,0.595745,10,18,0,5
S00000684_t0035,0035.wav,0,교육,정말 답답하네요. 그 마들이 계속 증 글자라고 할 때 선생님 조금 더 편하시라고 4금 길짜라 했더니 이름이 발생할 줄 누가 알았겠어요?,하/ 정말 답답하네요. 엄마들이 계속 u/ 라고 할 때 선생님이 조금 편하시라고 자동결제를 했더니 이런 일이 발생할 줄 누가 알았겠어요.,76,0.289474,11,6,5,7
S00000684_t0036,0036.wav,0,교육,이 카드 정보도 다 폐기해주세요. 중앙교육 말음 큰 애사라고 믿고있는데 이르시로 개인지부치대비진 안되는거에요,저희 카드정보도 다 폐기해주세요. 중앙교육 나름 큰 회사라고 믿고 있었는데 이런 식으로 개인 정보 처리하는* 안 되는 거예요.,70,0.357143,13,11,1,7
S00000684_t0040,0040.wav,0,교육,그럼 황불게는 그걸 알고 이만큼은 제요,"그럼, 환불되는 걸로 알고 이만 끊을게요.",23,0.434783,8,2,0,2
S00000714_t0011,0011.wav,0,교육,선생님하고 어떻게 이야기가 듣길래요? 학습 종료가 안 돼요.,선생님하고 (어떻게)/(어뜨케) 이야기가 됐길래 학습 종료가 안 돼요?,39,0.307692,2,8,2,0
S00000714_t0012,0012.wav,0,교육,"어, 알아보고 처리해 드리겠습니다.",어/ 알아보고 처리해 드리겠습니다.,19,0.052632,1,0,0,0
S00000714_t0013,0013.wav,0,교육,처리해주는 건 당연하고요. 그것보다 저희 카드 번호도 분명히 개인정본인데 해제하면 작게 해야 하는 것 아닌가요?,처리해주는 건 당연하고요. 그것보다 저희 카드번호도 분명히 개인정보인데 해지하면 (삭제)/(착제*)해야 하는 것 아닌가요?,68,0.191176,5,7,1,2
S00000714_t0014,0014.wav,0,교육,예전에 저희 학습지 할 때도 결제금액이 이상해서 고객센터로 문의해 보니까 저희가 하시도 않은 과목을 둘러시켜서 그게 두 달 보이나 결제가 됐더라고요.,"예전에 저희 학습지 할 때도 결제금액이 이상해서 고객센터로 문의해보니까, 저희가 하지도 않은 과목을 등록시켜서 그게 (2달)/(두 달) 분이나 결제가 (됐더라고요)/(되뜨라고요)?",100,0.240000,5,18,1,1
S00000714_t0019,0019.wav,0,교육,근데 저희 분명히 그만뒀는데 결제에 되는 건 좀 아니잖아요.,근데 저희 분명히 그만뒀는데 결제되는 건 좀 아니잖아요?,31,0.096774,1,0,2,1
S00000714_t0020,0020.wav,0,교육,한번 예약을 넘어갔으면 좀 더 조심해져야 하는 것 아닌가요?,(1번)/(한 번) 이해하고 넘어갔으면 좀 더 조심해줘야* 하는 것 아닌가요?,43,0.325581,4,10,0,1
S00000714_t0032,0032.wav,0,교육,너무 늦어요. 연기 지금 학습지회사 잘못인데 더 빨리 처리는 안 되는 건가요?,너무 늦어요. 명백히 지금 학습지 회사 잘못인데* 더 빨리 처리는 안 되는 건가요? n/,49,0.163265,2,6,0,2
S00000714_t0035,0035.wav,0,교육,저희 카드 정부도 다 튀게 해주세요.,저희 카드정보도 다 폐기해주세요.,18,0.277778,3,0,2,2
S00000714_t0041,0041.wav,0,교육,네 감사합니다. 상담사 이진혁이었습니다,"b/ 네, 감사합니다. 상담사 이진혁이었습니다.",26,0.192308,0,5,0,1
S00000737_t0001,0001.wav,0,교육,네 고객님 중앙교육의 이진혁 상담원입니다.,"네, 고객님. 중앙교육의 이진혁 상담원입니다.",25,0.080000,0,2,0,0
S00000737_t0002,0002.wav,0,교육,안녕하세요. 결제 때문에 전화 드렸어요,안녕하세요. 결제 때문에 전화드렸어요.,21,0.095238,0,1,1,1
S00000737_t0008,0008.wav,0,교육,선생님하고 어떻게 이야기가 됐길래 학습 종류가 안 돼요.,선생님하고 어떻게 이야기가 됐길래 학습 종료가 안 돼요?,31,0.064516,2,0,0,0
S00000737_t0010,0010.wav,0,교육,처리해주는 건 당연하고요. 그것보다 저희 카드버노도 분명히 개인정부인데 해지하면서 삭제해야 하는 거 아닌가요?,처리해주는 건 당연하고요. 그것보다 저희 카드번호도 분명히 개인정보해+ 개인정보인데 b/ 해지하면 삭제해야 하는 거 아닌가요?,70,0.200000,3,10,1,2
S00000737_t0013,0013.wav,0,교육,저희가 알았으니까 먼저는 몰랐으면 그렇게 남의 기장에서 계속 빼내가실 거 아니에요. 송지 같은 것도 안 해주고,저희가 알았으니까 망정이지 몰랐으면 그렇게 남의 계좌에서 돈 계속 빼내+ 빼내갔을 거 아니에요? 통지 같은 것도 안 해주고.,69,0.246377,9,8,0,2
S00000737_t0019,0019.wav,0,교육,함부랑 얼마나 걸리는데요?,환불은 얼마나 걸리는데요?,14,0.214286,3,0,0,0
S00000737_t0021,0021.wav,0,교육,"아니 그건 바로 해주셔야죠. 저희는 분명 전에 다 했지 했는데 시스템은 그쪽 문제고요, 저희는 지금 이용화지도 아닌 학습지가 결제할 수 있으니까 금액을 돌려달라는 건데 그걸 지금 바로 처리해주는 것도 아니고 늦추겠다고요?","아/ 아니, 그건 바로 해주셔야죠. 저희는 분명 전에 해지 다 했는데 시스템은 그쪽 문제고요. b/ 저희는 지금 이용하지도 않는 학습지가 결제됐으니까 금액을 돌려달라는 건데 b/ 그걸 지금 바로 처리해주는 것도 아니고 늦추겠다고요?",129,0.178295,9,10,4,7
S00000737_t0026,0026.wav,0,교육,금융서 사정이와 불가능합니다.,금융사 사정이라 불가능 합니다.,17,0.176471,2,1,0,1
S00000737_t0031,0031.wav,0,교육,그럼 한 발 되는 걸 알고 이만 끝낼게요.,그럼 환불되는 걸로 알고 이만 끊을게요.,22,0.318182,4,1,2,2
S00000743_t0001,0001.wav,0,교육,네 고객님 중앙교육의 이진혁 상담원입니다.,"네, 고객님. 중앙교육의 이지+ 이진혁 상담원입니다.",29,0.206897,0,6,0,1
S00000743_t0002,0002.wav,0,교육,네 안녕하세요. 지을 때 때문에 전화 드리겠습니다,"네, 안녕하세요, (결제)/(절제*) 때문에 전화드렸어요.",32,0.562500,9,7,2,2
S00000743_t0009,0009.wav,0,교육,학습의 종목이 안 됐다고요? 저희 저번에 분명히 끝내고 이사까지 했는데요.,학습이 종료가 안 됐다고요? 저희 저번에 분명히* 끝내고 이사까지 했는데요?,42,0.119048,4,1,0,0
S00000743_t0012,0012.wav,0,교육,알아보고 처리해드리겠습니다.,아/ 알아보고 처리해 드리겠습니다.,19,0.210526,0,4,0,2
S00000743_t0019,0019.wav,0,교육,근데 저희 분명히 그만뒀는데 결제는 이건 좀 아니잖아요?,근데 저희 분명히* 그만뒀는데 결제는 이건 좀 아니잖아요? n/,35,0.114286,0,4,0,1
S00000743_t0020,0020.wav,0,교육,한번 이해하고 넘어갔으면 좀 더 조심해져야 하는 거 아닌가요?,b/ (1번)/(한 번) 이해하고 넘어갔으면* 좀 더 조심해줘야 하는 거 아닌가요?,46,0.282609,1,12,0,2
S00000743_t0024,0024.wav,0,교육,죄송합니다. 확인 후 처리들도 처리해드리겠습니다,죄송합니다. 확인 후 처리드리도+ 처리해 드리겠습니다.,30,0.166667,1,4,0,1
S00000743_t0025,0025.wav,0,교육,한 번은 얼마나 걸리는데요?,환불은 얼마나 걸리는데요? b/,17,0.352941,2,3,1,2
S00000743_t0026,0026.wav,0,교육,시스템상 바로 해시는 불가능합니다. 학습지는 한 달 후에 종료됩니다,시스템상 바로 해지는 불가능합니다. 학습지는 (1달)/(한 달) 후에 종료됩니다.,45,0.200000,1,8,0,0
S00000743_t0027,0027.wav,0,교육,아니 그건 바로 해주셔야죠. 저는 분명 저는 1지 다 했는데 시스템은 그 정도인 데고요 저희는 지금 이형하지도 않은 학습지가 결제했으니까 금액을 돌려달라는 건데 그걸 지금 바로 차례해주는 것도 아니고 늙추겠다고요,"아니, 그건 바로 해주셔야죠. (저희는)/(전는*) 분명 전에 해지 다 했는데. 시스템은 그쪽 문제고요. 저희는 이/ 지금 이용하지도 (않은)/(아나) 학습지가 (결제됐으니까)/(결제애쓰니까*) 금액을 돌려달라는 건데, 그걸 지금 바로 처리해주는 것도 아니고 늦추겠다고요?",152,0.328947,12,36,2,4
S00000743_t0029,0029.wav,0,교육,알겠어요. 그럼 일단 한 분이라도 해주세요. 한 번을 언제 받을 수 있는 거예요?,"알겠어요*, 그럼 일단 (환불)/(항불)이라도* 해주세요. 환불은 언제 받을 수 있는 거예요?",52,0.307692,7,8,1,2
S00000743_t0030,0030.wav,0,교육,최소 일주 길면 2주 정도 걸릴 거라 예상됩니다.,"최소 (1주)/(일 주), 길면 (2주)/(이 주) 정도 걸릴 거라 예상됩니다.",44,0.386364,0,17,0,2
S00000743_t0031,0031.wav,0,교육,너무 늦어요. 명백기 지금 학습실에서 잘못인데 더 빨리 처리는 안 되는 건가요?,너무 늦어요. 명백히 지금 학습지 회사 잘못인데 더 빨리 처리는 안 되는 건가요?,45,0.111111,4,1,0,1
S00000743_t0033,0033.wav,0,교육,정말 답답하네요. 엄마들이 계속 형 결제 하라고 할 때 선생님은 조금 더 편하시고 자전개짜를 했더니 이런 일이 발생해줄 누가 있겠어요?,"하/ 정말 답답하네요. 엄마들이 계+ 계속 (현금)/(형응*) 결제하라고 할 때 선생님 조금 더 편하시고 자동결제로 했더니, 이런 일이 (발생할)/(발생해*) 줄 누가 알겠어요?",99,0.333333,5,26,2,4
S00000743_t0034,0034.wav,0,교육,저희 카드 정보도 다 폐기해주세요. 주황교육 나름 큰 회사라고 믿고 있었는데 이런 식으로 개인정보 초대하는 건 안 되는 거예요,저희 카드정보도 다* 폐기해주세요. (중앙교육)/(주앙교육) 나름 큰 회사라고 믿고 있었는데. 이런 식으로 개인정보 처리해 놓으면 안 되는 거예요. n/,85,0.282353,7,16,1,4
S00000743_t0036,0036.wav,0,교육,"이런 일 계속 반복되면 실내도 떨어지는 거 아셔야 해요. 저희는 그나가 선생님이 좋았고, 아이가 만족했으니까 넘어가는 거지? 다른 엄마들 이런 일이 이러면 안 참아요. 아시죠?!","이런 일 계속 반복되면 신뢰도 떨어지는 거 아셔야 해요. 저희는 그나마 선생님이 좋았고 아이가 만족했으니까 넘어가는* 거지, b/ 다른 엄마들 이런 일은 안 참아요. 아시죠?",97,0.154639,5,4,6,2
S00000743_t0038,0038.wav,0,교육,그럼 한번되는 걸로 알고 이만 끊을게요.,그럼 (환불)/(항불)되는 걸로 알고 이만 끊을게요*.,30,0.333333,2,8,0,0
S00000771_t0012,0012.wav,0,교육,선생님하고 어떻게 이야기가 됐길래 학습 종료 안 돼요.,o/ 선생님하고 어떻게 이야기가 됐길래 학습 종료가 안돼요?,33,0.181818,1,4,1,2
S00000771_t0016,0016.wav,0,교육,예전에 저희 학수치할 때도 결제금이 이상해서 모기센터에 문의해 보니까 저희가 하지도 않은 과목을 등원시켜서 그게 두 달 분이나 결제가 됐더라고요.,o/ 예전에 저희 학습지 할 때도 결재 금액이 이상해서 고객센터에 문의해보니깐 저희가 하지도 않은 과목을 등록시켜서 거기 (2달)/(두 달)분이나 결제가 됐더라고요.,92,0.250000,10,12,1,5
S00000771_t0032,0032.wav,0,교육,상부 확인 후 절차 지도는 바로 해드리겠습니다.,b/ 상부 확인 후 결제 취소는 바로 해드리겠습니다*. b/,33,0.333333,4,7,0,2
S00000771_t0043,0043.wav,0,교육,그럼 한볼되는 거로 알고 이만 끊을게요.,그럼 환불되는 걸로 알고 이만 끊을게요*.,23,0.173913,3,1,0,0
S00000773_t0001,0001.wav,0,교육,"네, 고객님 중앙교육의 이진혁 상바문입니다.","네, 고객님. 중앙교육의 이진혁 상담원입니다. n/",28,0.214286,2,4,0,1
S00000773_t0002,0002.wav,0,교육,안녕하세요. 교팀 때문에 전화 드리겠습니다,안녕하세요? 결제 때문에 전화드렸어요.,21,0.428571,7,0,2,1
S00000773_t0003,0003.wav,0,교육,분당 살 때 중앙교육 학습팀 몇 년 했었고요. 지금은 학생티기 이용 안 하고 있거든요? 그리고 저희 소초로 이사도 했고요,분당 살 때 중앙교육 학습지 몇 년 했었고요. 지금은 학습지 이용 안 하고 있거든요. n/ 그리고 저희 스+ 서초로 이사도 했고요.,73,0.178082,5,7,1,2
S00000773_t0006,0006.wav,0,교육,시플모니겹게 됐는데 저희 지금 여기 학습지 이용을 안 하고 있어요. 어떻게 된 거예요?,(180000원)/(십 팔만 원)이 결제됐는데 n/ 저희 지금 여기 학습지 이용을 안 하고 있어요. 어떻게 된 거예요?,66,0.363636,6,18,0,3
S00000773_t0009,0009.wav,0,교육,"네, 알아보는 결과 학습 종류가 안 된 것으로 나와 있습니다.","네, 알아본 결과 학습 종료가 안 된 걸로 나와 있습니다. n/",35,0.228571,3,3,2,1
S00000773_t0013,0013.wav,0,교육,알아보고 처리해드리겠습니다.,알아보고 처리해 드리겠습니다*,16,0.125000,1,1,0,1
S00000773_t0014,0014.wav,0,교육,초대해 주는 건 당연하고요. 그것보다 저희 카덕으로도 분명히 개인 영보인데 퇴제하면 삭제해야 하는 거 아닌가요?,처리해 주는 건 당연하고요. 그것보다 저희 카드 번호도 분명히 개인 정보인데 해지하면 삭제해야 하는 거 아닌가요?,63,0.142857,8,1,0,1
S00000773_t0029,0029.wav,0,교육,그러면 이거 어떻게 처리해줄 거예요? 저는 지금 당장 학습 동료해 주시고요. 저희 각지금 전에 한 명 처리해 주시면 좋겠어요,그러면 이거 어떻게 처리해 줄 거예요? 저는 지금 당장 학습 종료해 주고+ (주시고요)/(시구요). n/ 저의 결제금 금액 (환불)/(한물) 처리해 주셨으면 좋겠어요.,93,0.354839,9,24,0,4
S00000773_t0030,0030.wav,0,교육,저희 이사 오고 나서 바로는 여자가 안 됐어요.,저희 이사 오고 나서 바로는 결제가 안 됐어요.,26,0.076923,2,0,0,0
S00000773_t0032,0032.wav,0,교육,죄송합니다. 확인을 처리해 드리겠습니다,죄송합니다. 확인* 후 처리해 드리겠습니다.,24,0.166667,1,3,0,1
S00000773_t0035,0035.wav,0,교육,"아니 그건 바로 해 주셔야죠. 저희는 분명 전에 다 했었는데 시탭은 그 정도인 거고요, 저희는 지금 이용하기도 안 할 합세적 결정에 됐으니까 금융을 돌려달라는 건데 그걸 지금 바로 처리해 주는 것도 아니고 미치겠다구요","아니, 그건 바로 해주셔야죠. n/ 저희는 분명 전에 해지 다 했는데 시스템은 그쪽 문제고요. 저희는 지금 이용하지도 않은 학습지 결제됐으니까 금액을 돌려달라는 건데, 그걸 지금 바로 처리해주는 것도 아니고 (늦추겠다고요)/(늦추겠다르구요)?",135,0.340741,16,22,8,9
S00000794_t0002,0002.wav,0,교육,안녕하세요 결제 때문에 전화되었어요,안녕하세요. 결제 때문에 전화드렸어요.,21,0.190476,2,2,0,0
S00000794_t0003,0003.wav,0,교육,분당설때 중앙교 학습지 몇 년 했었고요 지금은 학습 지 이용 안 하고 있거든요,분당 살 때 중앙교육 학습지 몇 년 했었고요. 지금은 학습지 n/ 이용 안 하고 있거든요.,50,0.180000,2,7,0,2
S00001018_t0001,0001.wav,0,교육,안녕하세요. 쇠어링스터디 상담원 홍겔동입니다,안녕하세요. 쉐어링스터디 상담원 홍길동입니다.,25,0.120000,2,1,0,0
S00001018_t0006,0006.wav,0,교육,약간 동의 여부 특크를 먼저 확인하겠습니다.,약관 동의 여부 체크를 먼저 확인하겠습니다.,24,0.083333,2,0,0,0
S00001018_t0008,0008.wav,0,교육,고객님 성함과 휴대폰 번호 뒤 4자리 부탁드립니다.,고객님 성함과 휴대폰 번호 뒤 (4자리)/(네 자리) 부탁드립니다.,37,0.243243,0,9,0,1
S00001018_t0009,0009.wav,0,교육,"네, 김철수이고 인리상사입니다.","네, 김철수이고, 일 이 삼 사 입니다.",22,0.363636,3,5,0,4
S00001018_t0010,0010.wav,0,교육,확인 결과 모든 회원 가입 약간에 도움이하셨습니다.,"확인 결과, 모든 회원가입 약관에 동의하셨습니다.",27,0.222222,3,1,2,1
S00001018_t0011,0011.wav,0,교육,제가 지금 약관이 정확하게 기억이 안 나는데 가입의 꼭 필요한 필수적인 약관은 지금처럼 정리합니다. 체크를 동일하게 하고 바꾸고 싶은 부분이 그 마케팅 활동 관련해서 제정보가 다른 곳에 던절되는 그 약관을 정리를 하지 않는다고 바꾸거든요,"제가 지금 약관이 정확하게 기억이 안 나는데, 가입에 꼭 필요한 필수적인 약관은 지금처럼 동의합니다에 체크를 동일하게 하고, 바꾸고 싶은 부분이 그 마케팅 활용 관련해서 제 정보가 다른 곳에 전달되는 그 약관에 동의하지 않는다고 바꾸고 싶거든요?",137,0.138686,10,7,2,3
S00001018_t0013,0013.wav,0,교육,"네, 고객님 말씀 주신 상황 우선적으로 변경 처리하겠습니다.","네, 고객님 말씀 주신 사항 우선적으로 변경 처리하겠습니다.",33,0.060606,2,0,0,0
S00001018_t0017,0017.wav,0,교육,네 고객님 학생회의원으로 어제 가입하신 내역 확인되었고 전체 약간 동의 취소되었습니다.,"네, 고객님. 학생회원으로 어제 가입하신 내역 확인되었고, 전체 약관 동의 취소되었습니다.",50,0.100000,1,3,1,0
S00001018_t0021,0021.wav,0,교육,개인정보 마케팅 및 광고 활용에 동의하지 않으셔서 관련한 이벤트 전달은 어렵습니다.,개인정보 마케팅 및 광고 활용에 동의하지 않으셔서 관련한 이벤트 전달은 어렵습니다.,46,0.000000,0,0,0,0
S00001018_t0028,0028.wav,0,교육,네 해당 부분은 현재 논의 중이나 아직 통합회용 가입제 돈 없습니다.,"네, 해당 부분은 현재 논의 중이나, 아직 통합회원 가입 제도는 없습니다.",41,0.146341,3,3,0,2
S00001018_t0042,0042.wav,0,교육,해당 부분은 이벤트 상세 페이지에 기재되어 있으며 교제와 강의 선택 가능합니다.,"해당 부분은 이벤트 상세 페이지에 기재되어 있으며, 교재와 강의 선택 가능합니다.",45,0.044444,1,1,0,0
S00001029_t0015,0015.wav,0,교육,고객님 학생 회원으로 어제 가입하신 내역 확인되었고 전체 약간 동의 취소되었습니다.,"o/ 네, 고객님 학생회원으로 어제 가입하신 내역 확인되었고 전체 약관 동의 취소되었습니다.",51,0.156863,1,6,1,3
S00001040_t0002,0002.wav,0,교육,네 안녕하세요 수고 많으십니다. 어제 가입할때 티켓댄 내용을 수정하려고 하는데 어디서 해야겠죠?,"네, 안녕하세요? 수고가 많으십니다. 어제 (가입할)/(가입핼) 때 그 (체크했던)/(체끄땐) 내용을 수정하려고 하는데 어디서 해야 되죠?",77,0.363636,4,24,0,3
S00001040_t0004,0004.wav,0,교육,가입할 때 필수 말고 선택인 회원약간이 있는데 제가 어제는 회원가입을 급하게 하느라고 그걸 다 동일히 표시했던 것 같은데 맞나요?,가입할 때 필수 말고 선택인 회원 약관이 있는데 제가 어제는 회원가입을 급하게 하느라고 그걸 다 동의를* 표시했던 거 같은데 맞나요?,74,0.081081,4,2,0,1
S00001040_t0006,0006.wav,0,교육,"네, 아마 제가 다 동의한다고 표시했거든요.","네+ 네, b/ 아마 제가 다 동의한다고 표시했거든요.",30,0.200000,0,6,0,2
S00001040_t0007,0007.wav,0,교육,고객님 성향과 휴대폰 분우기 네 자리를 부탁드립니다.,고객님 성함과 휴대폰 번호 뒤 (4자리)/(네 자리)에 부탁드립니다.,38,0.368421,5,9,0,1
S00001040_t0023,0023.wav,0,교육,고객님 시장했습니다.,"네, 고객님 수정했습니다.",14,0.357143,2,3,0,1
S00001040_t0029,0029.wav,0,교육,해설안에 필수상문만 개인적으로 제공이 동의해서 제가 놓치면 혜택이나 불립 같은 건 따로 없을까요?,최소한의 필수 항목만 개인 정보 제공에 동의해서 제가 놓치는 혜택이나 불이익 같은 건 따로 없을까요?,56,0.250000,12,2,0,2
S00001040_t0032,0032.wav,0,교육,미안하십니까,"네, 아직 참여 가능하십니다.",16,0.812500,3,10,0,3
S00001040_t0034,0034.wav,0,교육,중복을 해당되지 않습니다.,"네, 중복은 해당되지 않습니다.",17,0.235294,1,3,0,1
S00001040_t0038,0038.wav,0,교육,"아, 해탱이 좋네요. 혹시 이 이벤트 언제까지 적용될까요? 주변에 저도 친구들 많이 추천하고 소개 하고 싶었어요",아/ 혜택이 좋네요. 혹시 이 이벤트 언제까지 적용될까요? 주변에 저도 친구들 많이 추천하고 소개하고 싶어서요.,62,0.112903,5,1,1,1
S00001040_t0040,0040.wav,0,교육,친구 소개하면 제가 받는 햇빛의 기준이나 일정도 따로 정의되어 있나요? 아까 중복은 흰 복 해당되지 않는다고 해서 그럼 치대 몇만까지 해당 되고 전체 어떻게 종미될 지 알 수 있나요.,친구 소개하면 제가 받는 혜택의 기간이나 일정도 따로 정해져 있나요? 아까 중복은 행마+ 행보+ 으/ 해당되지 않는다고 해서 b/ 그럼 최대 몇 (명)/(망*) 까지 해당되고 저한테 어떻게 적립이 되는지 알 수 있나요?,122,0.319672,15,22,2,5
S00001040_t0041,0041.wav,0,교육,소기권은 최대 5년까지 종립하나입니다.,소개 건은 최대 (5명)/(다섯 명)까지 적립 가능합니다.,32,0.562500,7,11,0,3
S00001040_t0044,0044.wav,0,교육,말씀 주신대로 간호합니다.,아/ 말씀 주신대로 가능합니다.,17,0.294118,2,3,0,1
S00001040_t0047,0047.wav,0,교육,"아, 미미. 확인 감사합니다","o/ 아/ 네+ 네, 확인 감사합니다.",21,0.476190,4,6,0,2
S00001040_t0048,0048.wav,0,교육,추가 중의 문이 이상 있으면 언제 있는지 물에 부탁드립니다. 최홀스터리 선단사 홍교육동이었습니다,추가적인 문의 사항 있으면 언제든지 문의 부탁드립니다. 쉐어링 스터디 상담사 홍길동이었습니다.,52,0.403846,14,3,4,3
S00001066_t0002,0002.wav,0,교육,네 안녕하세요 수고가 많으십니다 어제 가입했던 할 때 체크 했던 내용을 수정하려고 하는데 어디서 해야 되죠?,네 안녕하세요. 수고가 많으십니다. 어제 가입했던 할 때 체크했던 내용을 수정하려고 하는데 어디서 해야 되죠?,61,0.049180,0,2,1,1
S00001066_t0006,0006.wav,0,교육,아마 제가 다 동의한다고 표시했거든요.,"네네, 아마 제가 다 동의한다고 표시했거든요.",25,0.160000,0,4,0,1
S00001066_t0012,0012.wav,0,교육,"네, 고객님 말씀신사 우산적으로 분정 처리하겠습니다.",네 고객님 말씀 주신 사항 우선적으로 변경 처리하겠습니다.,32,0.250000,3,4,1,2
S00001066_t0015,0015.wav,0,교육,네 고객님 학생회의원으로 어제 가입하신 내역 확인되었고 전제약관동이 취조되었습니다.,"네 고객님. 학생회원으로 어제 가입하신 내역 확인되었고, 전체 약관 동의 취소되었습니다.",49,0.163265,3,4,1,2
S00001066_t0016,0016.wav,0,교육,"그럼 저는 이용약관이니랑 개인정보 필수 항목에 대한 처리미, 이용에 대한 필수항목 두 가지에만 동의 된 거죠.",그럼 저는 이용약관+ 이용약관이랑 개인정보 필수항목에 대한 처리 및 이용에 대한 필수 항목 (2가지)/(두 가지)에만 동의된 거죠?,73,0.273973,4,14,2,5
S00001066_t0018,0018.wav,0,교육,최소한의 필수 항목만 개인정보제공에 동해서도 제가 놓치는 혜택이나 부리 같은 건 따로 없을까요?,최소한의 필수항목만 개인정보 제공에 동의해서 제가 놓치는 혜택이나 불이익 같은 건 따로 없을까요?,54,0.129630,2,3,2,2
S00001066_t0020,0020.wav,0,교육,그럼 가격하는 이벤트나 신규 강의 같은 혜택도 전달받기 어렵나요?,그럼 가격 할인 이벤트나 신규 강의 같은 혜택도 전달받기 어렵나요?,37,0.081081,2,1,0,1
S00001066_t0021,0021.wav,0,교육,"네, 동네해 주시지 않으면 어렵습니다.",네 동의해주시지 않으면 어렵습니다.,19,0.157895,1,0,2,1
S00001066_t0022,0022.wav,0,교육,아 그러면 그금만 별도로 동례할게요.,아/ 그러면 그건+ 그 건만 별도로 (동의할게요)/(동의할께요).,36,0.500000,2,16,0,2
S00001066_t0023,0023.wav,0,교육,"네, 고객님 수정했습니다.",네 고객님. 수정했습니다.,14,0.142857,0,1,1,0
S00001066_t0024,0024.wav,0,교육,"아, 그리고 혹시 제가 셔링 스튜디 자회사로 셔린키즈, 셔림궁무원, 셀림자격증 같은 다른 사이트도 인간 듣기 좋은 곳이라고 친구한테 들었는데 같이 통화 배영 가입은 어렵나요?","아/ 그리고 혹시 제가 쉐어링 스터디 자회사로 쉐어링 키즈, 쉐어링 공무원, 쉐어링 자격증같은 다른 사이트도 인강 듣기 좋은 곳이라고 친구한테 들었는데 같이 통합회원 가입은 어렵나요?",102,0.225490,14,7,2,5
S00001066_t0025,0025.wav,0,교육,가입한 아이디로 같이 다 하나로 이용하면 여러 번 가입하지 않고 이용하기 편리할 것 같은데 그런 루트 같은 건 따로 없나요?,가입한 아이디로 같이 다 하나로 이용하면 여러 번 가입하지 않고 이용하기 편리할 거 같은데 그런 루트 같은 건 따로 없나요?,69,0.014493,1,0,0,0
